Ngay,Dong cua,Mo cua,Cao nhat,Thap nhat,KL,% Thay doi
16/04/2024,1215.68,"1,218.64","1,222.45","1,191.73","120,785,611",-0.93(-0.08 %)
15/04/2024,1216.61,"1,274.02","1,281.81","1,216.61","128,180,780",-59.99(-4.70 %)
12/04/2024,1276.6,"1,262.96","1,278.39","1,259.5","247,058,701",18.4(1.46 %)
11/04/2024,1258.2,"1,249.88","1,262.03","1,248.11","43,901,038",-0.36(-0.03 %)
10/04/2024,1258.56,"1,266.48","1,268.72","1,258.56","65,055,327",-4.26(-0.34 %)
09/04/2024,1262.82,"1,252.4","1,262.82","1,247.7","63,387,748",12.47(1.00 %)
08/04/2024,1250.35,"1,255.37","1,258.4","1,246.87","81,699,030",-4.76(-0.38 %)
05/04/2024,1255.11,"1,258.58","1,265.14","1,253.56","31,862,243",-13.14(-1.04 %)
04/04/2024,1268.25,"1,271.87","1,277.62","1,265.12","56,434,639",-3.22(-0.25 %)
03/04/2024,1271.47,"1,285.3","1,288.99","1,271.47","79,863,760",-15.57(-1.21 %)
02/04/2024,1287.04,"1,276.38","1,287.04","1,268.48","54,516,561",5.52(0.43 %)
01/04/2024,1281.52,"1,282.84","1,286.8","1,274.09","62,026,535",-2.57(-0.20 %)
29/03/2024,1284.09,"1,292.7","1,292.75","1,282.44","118,165,503",-6.09(-0.47 %)
28/03/2024,1290.18,"1,293.03","1,293.9","1,285.52","115,916,673",7.09(0.55 %)
27/03/2024,1283.09,"1,286.34","1,286.72","1,276.95","114,458,865",0.88(0.07 %)
26/03/2024,1282.21,"1,267.95","1,282.5","1,264.42","77,989,658",14.35(1.13 %)
25/03/2024,1267.86,"1,278.86","1,286.84","1,264.51","76,091,634",-13.94(-1.09 %)
22/03/2024,1281.8,"1,281.56","1,291.27","1,276.38","196,916,593",5.38(0.42 %)
21/03/2024,1276.42,"1,269.96","1,276.42","1,264.2","112,532,603",16.34(1.30 %)
20/03/2024,1260.08,"1,243.79","1,261.55","1,235.46","54,307,937",17.62(1.42 %)
19/03/2024,1242.46,"1,246.54","1,249.75","1,238.92","131,148,990",-1.1(-0.09 %)
18/03/2024,1243.56,"1,266.11","1,269.9","1,221.67","89,673,851",-20.22(-1.60 %)
15/03/2024,1263.78,"1,263.76","1,271.63","1,252.36","48,429,845",-0.48(-0.04 %)
14/03/2024,1264.26,"1,276","1,276.41","1,258.67","34,804,824",-6.25(-0.49 %)
13/03/2024,1270.51,"1,250.2","1,270.51","1,247.64",0,25.51(2.05 %)
12/03/2024,1245,"1,235.4","1,248.33","1,233.14","42,756,568",9.51(0.77 %)
11/03/2024,1235.49,"1,248.32","1,254.01","1,233.49","51,144,457",-11.86(-0.95 %)
08/03/2024,1247.35,"1,272.62","1,274.3","1,247.35","36,783,174",-21.11(-1.66 %)
07/03/2024,1268.46,"1,263.23","1,269.88","1,260.24","65,153,646",5.73(0.45 %)
06/03/2024,1262.73,"1,269.8","1,277.51","1,256.3","18,307,564",-7.25(-0.57 %)
05/03/2024,1269.98,"1,262.89","1,269.98","1,257.81","82,943,029",8.57(0.68 %)
04/03/2024,1261.41,"1,264.07","1,268.25","1,256.54","121,861,420",3.13(0.25 %)
01/03/2024,1258.28,"1,256.72","1,258.76","1,247.87","70,109,621",5.55(0.44 %)
29/02/2024,1252.73,"1,259.59","1,264.39","1,247.7","76,972,005",-1.82(-0.15 %)
28/02/2024,1254.55,"1,241.77","1,254.55","1,236.32","58,557,999",17.09(1.38 %)
27/02/2024,1237.46,"1,228.93","1,237.6","1,226.49","64,391,398",13.29(1.09 %)
26/02/2024,1224.17,"1,212.93","1,225.21","1,210.52","51,479,977",12.17(1.00 %)
23/02/2024,1212,"1,230.3","1,240.81","1,211.55","64,777,762",-15.31(-1.25 %)
22/02/2024,1227.31,"1,229.85","1,232.09","1,226.15","42,351,736",-2.73(-0.22 %)
21/02/2024,1230.04,"1,231.78","1,234.22","1,222.92","102,199,481",-0.02(0.00 %)
20/02/2024,1230.06,"1,227.75","1,230.47","1,222.66","91,793,296",5.09(0.42 %)
19/02/2024,1224.97,"1,213.24","1,225.48","1,212.58","68,402,983",15.27(1.26 %)
16/02/2024,1209.7,"1,204.9","1,210.25","1,204.29","38,261,231",7.2(0.60 %)
15/02/2024,1202.5,"1,203.08","1,207.56","1,198.81","24,502,809",3.97(0.33 %)
07/02/2024,1198.53,"1,190.51","1,199.52","1,190.5","20,738,318",10.05(0.85 %)
06/02/2024,1188.48,"1,189.08","1,190.92","1,185.68","52,122,200",2.42(0.20 %)
05/02/2024,1186.06,"1,174.22","1,188.45","1,173.54","97,379,332",13.51(1.15 %)
02/02/2024,1172.55,"1,173.93","1,178.27","1,169.7","114,722,511",-0.47(-0.04 %)
01/02/2024,1173.02,"1,162.78","1,174.5","1,162.45","78,512,920",8.71(0.75 %)
31/01/2024,1164.31,"1,181.62","1,182.53","1,163.13","90,789,888",-15.34(-1.30 %)
30/01/2024,1179.65,"1,176.02","1,179.92","1,174.13","49,260,437",3.96(0.34 %)
29/01/2024,1175.69,"1,177.23","1,180.46","1,174.88","106,961,541",0.02(0.00 %)
26/01/2024,1175.67,"1,173.43","1,176.76","1,173.43","77,007,219",5.3(0.45 %)
25/01/2024,1170.37,"1,173.58","1,173.83","1,168.5","59,838,659",-2.6(-0.22 %)
24/01/2024,1172.97,"1,175.58","1,180.3","1,172","89,134,288",-4.53(-0.38 %)
23/01/2024,1177.5,"1,183.96","1,184.74","1,173.78","83,116,514",-5.36(-0.45 %)
22/01/2024,1182.86,"1,186.29","1,186.96","1,175.54","118,873,900",1.36(0.12 %)
19/01/2024,1181.5,"1,171.5","1,181.5","1,171.47","31,976,292",12.44(1.06 %)
18/01/2024,1169.06,"1,164.32","1,169.73","1,162.62","26,168,351",6.53(0.56 %)
17/01/2024,1162.53,"1,161.95","1,168.46","1,160.45","74,482,553",-0.59(-0.05 %)
16/01/2024,1163.12,"1,150.31","1,163.12","1,147.71","40,425,227",9(0.78 %)
15/01/2024,1154.12,"1,159.37","1,163.75","1,154.12","56,304,790",-0.58(-0.05 %)
12/01/2024,1154.7,"1,154.91","1,161.91","1,146.75","46,007,056",-7.52(-0.65 %)
11/01/2024,1162.22,"1,162.49","1,169.1","1,157.43","62,066,092",0.68(0.06 %)
10/01/2024,1161.54,"1,158.79","1,166.1","1,155.94","54,617,012",2.95(0.25 %)
09/01/2024,1158.59,"1,161.71","1,162.83","1,155.46","65,207,567",-1.6(-0.14 %)
